PERIODO,MES,PAIS_ORIGEN,ARANCEL,TOTAL_CIF_ITEM_US$,CANTIDAD_MERCANCIA
2015,08,ALEMANIA,28352600,19800,8250
2015,08,ALEMANIA,85072000,9792,9
2015,08,ALEMANIA,84369100,18134,12
2015,08,ALEMANIA,85153990,72813,5
2015,08,ALEMANIA,29033919,672,6
2015,08,ALEMANIA,84335100,68440,23
2015,08,ALEMANIA,28151100,308,1
2015,08,ALEMANIA,29071900,1987,7
2015,08,ALEMANIA,28363000,26462,12
2015,08,ALEMANIA,84485100,20409,4
2015,08,ALEMANIA,85291000,1378,25
2015,08,ALEMANIA,85446090,571,36
2015,08,ALEMANIA,29181500,44271,46
2015,08,ALEMANIA,84713000,119832,39
2015,08,ALEMANIA,30051020,1395,35
2015,08,ALEMANIA,87149600,171,41
2015,08,ALEMANIA,84716090,372,36
2015,08,ALEMANIA,84549000,18848,19
2015,08,ALEMANIA,84597000,10040,1
2015,08,ALEMANIA,04069090,711,45
2015,08,ALEMANIA,87169020,27398,25
2015,08,ALEMANIA,84714110,13078,2
2015,08,ALEMANIA,85087000,1110,45
2015,08,ALEMANIA,85043200,1225,1
2015,08,ALEMANIA,90021100,777,21
2015,08,ALEMANIA,87161000,17300,22
2015,08,ALEMANIA,85391000,1188,23
2015,08,ALEMANIA,85081900,52396,5
2015,08,ALEMANIA,85366100,1242,43
2015,08,ALEMANIA,28417010,1803,35
2015,08,ALEMANIA,29151100,67137,8
2015,08,ALEMANIA,85129000,13922,62
2015,08,ALEMANIA,85052000,76759,22
2015,08,ALEMANIA,29161290,14401,5900
2015,08,ALEMANIA,85447000,24296,23
2015,08,ALEMANIA,88032000,842,47
2015,08,ALEMANIA,21032090,14964,11
2015,08,ALEMANIA,85016420,93044,33
2015,08,ALEMANIA,28259000,549,15
2015,08,ALEMANIA,28054000,448,14
2015,08,ALEMANIA,85318000,35099,28
2015,08,ALEMANIA,84483900,18554,6
2015,08,ALEMANIA,85361020,249,62
2015,08,ALEMANIA,00309900,46585,54
2015,08,ALEMANIA,85163200,17606,23
2015,08,ALEMANIA,29081990,341,48
2015,08,ALEMANIA,29212900,30,37
2015,08,ALEMANIA,29053900,13,47
2015,08,ALEMANIA,85086000,581,47
2015,08,ALEMANIA,29181200,150,8
